id,title,description,layer,phase_dir,check_type,deps,context_from,wave,status,findings,gaps_found,fix_plan,error
"17","Artifact Substance: src/adapters/python-adapter.ts","检查 L2 实质性：验证 src/adapters/python-adapter.ts 包含真实的 Python 适配器实现，不是占位符","artifact",".workflow/scratch/phase-1.1-module-protocol/","substance","8","8","2","pending","","","",""
"18","Artifact Substance: src/adapters/shell-adapter.ts","检查 L2 实质性：验证 src/adapters/shell-adapter.ts 包含真实的 Shell 适配器实现，不是占位符","artifact",".workflow/scratch/phase-1.1-module-protocol/","substance","9","9","2","pending","","","",""
"19","Artifact Substance: docs/module-protocol.md","检查 L2 实质性：验证 docs/module-protocol.md 包含完整的协议文档，不是占位符","artifact",".workflow/scratch/phase-1.1-module-protocol/","substance","4","4","2","pending","","","",""
"20","Artifact Substance: docs/getting-started.md","检查 L2 实质性：验证 docs/getting-started.md 包含完整的接入指南，不是占位符","artifact",".workflow/scratch/phase-1.1-module-protocol/","substance","10","10","2","pending","","","",""
"21","Wiring: nodejs-adapter -> base-adapter","检查 L3 连接：验证 nodejs-adapter.ts 继承或导入 base-adapter.ts","wiring",".workflow/scratch/phase-1.1-module-protocol/","import_usage","6;7","6;7","2","pending","","","",""
"22","Wiring: python-adapter -> base-adapter","检查 L3 连接：验证 python-adapter.ts 继承或导入 base-adapter.ts","wiring",".workflow/scratch/phase-1.1-module-protocol/","import_usage","6;8","6;8","2","pending","","","",""
"23","Wiring: shell-adapter -> base-adapter","检查 L3 连接：验证 shell-adapter.ts 继承或导入 base-adapter.ts","wiring",".workflow/scratch/phase-1.1-module-protocol/","import_usage","6;9","6;9","2","pending","","","",""
"24","Wiring: adapters -> ModuleProtocol","检查 L3 连接：验证所有适配器都实现了 ModuleProtocol 接口","wiring",".workflow/scratch/phase-1.1-module-protocol/","import_usage","5;7;8;9","5;7;8;9","2","pending","","","",""
"25","Anti-Pattern Scan","扫描所有修改的文件查找 TODO/FIXME/XXX/HACK、占位符内容、空返回、仅日志函数、硬编码测试数据、禁用的测试。分类为 Blocker/Warning/Info","antipattern",".workflow/scratch/phase-1.1-module-protocol/","pattern_scan","1;2;3;14;15;16;17;18;19;20;21;22;23;24","1;2;3;14;15;16;17;18;19;20;21;22;23;24","3","pending","","","",""
"26","Nyquist Test Coverage Audit","将需求映射到测试文件。分类为 COVERED/PARTIAL/MISSING。检测测试框架，如果可用则运行覆盖率","nyquist",".workflow/scratch/phase-1.1-module-protocol/","test_coverage","1;2;3;14;15;16;17;18;19;20;21;22;23;24","1;2;3;14;15;16;17;18;19;20;21;22;23;24","3","pending","","","",""
